epoch,accuracy,loss,val_accuracy,val_loss
0,0.41999998688697815,2.8426806926727295,0.949999988079071,0.2936834394931793
1,0.75,0.5357011556625366,0.8999999761581421,0.2939971089363098
2,0.7699999809265137,0.6249698996543884,0.75,0.49137306213378906
3,0.9200000166893005,0.16650117933750153,0.75,0.4405290484428406
4,0.8899999856948853,0.281106561422348,0.5,2.011474609375
5,0.9300000071525574,0.22324822843074799,0.75,0.3690761923789978
6,0.9399999976158142,0.11320795118808746,0.949999988079071,0.24554553627967834
7,1.0,0.031381841748952866,0.8999999761581421,0.20964951813220978
8,0.9599999785423279,0.13498559594154358,0.800000011920929,0.38314375281333923
9,1.0,0.021848851814866066,0.8999999761581421,0.19631341099739075
